artist_id,artist_name,account_id,num_followers,avg_likes,avg_comments,avg_views,likes_not_from_followers,male_amount,female_amount,ages_13_17,ages_18_24,ages_25_34,ages_35_44,ages_45_64,ages_65_,male_13_17,female_13_17,male_ages_18_24,female_ages_18_24,male_ages_25_34,female_ages_25_34,male_ages_35_44,female_ages_35_44,male_ages_45_64,female_ages_45_64,male_ages_65_,female_ages_65_,follower_white,follower_african_american,follower_asian,follower_hispanic,follower_lang_en,follower_lang_es,follower_lang_pt,follower_lang_de,follower_lang_ja,follower_lang_zh,follower_lang_id,follower_lang_ru,follower_lang_fr,follower_interest_name_1,follower_interest_amount_1,follower_interest_name_2,follower_interest_amount_2,follower_interest_name_3,follower_interest_amount_3,follower_interest_name_4,follower_interest_amount_4,follower_interest_name_5,follower_interest_amount_5,follower_country_code_1,follower_country_weight_1,follower_country_code_2,follower_country_weight_2,follower_country_code_3,follower_country_weight_3,follower_country_code_4,follower_country_weight_4,follower_country_code_5,follower_country_weight_5,last_updated,reachability_500,reachability_500_1000,reachability_1000_1500,reachability_1500_,notable_users_ratio,audience_credibility,credibility_class,created_at,engagement_rate,engagements
2651,Dorothy,3479516159,7293.0,1467.0,63.0,,,0.61686,0.38314,0.059704,0.471617,0.428641,0.034643,0.005396,0.0,0.036111,0.023592,0.301752,0.169865,0.249811,0.17883,0.024734,0.009909,0.004452,0.000944,0.0,0.0,0.884876,0.055305,0.055305,0.004515,0.265428,0.003981,0.722628,0.001327,0.000664,0.000664,0.0,0.0,0.003318,"Clothes, Shoes, Handbags & Accessories",0.270661,Music,0.227273,Camera & Photography,0.208678,"Travel, Tourism & Aviation",0.152893,Activewear,0.150826,PT,0.896915,ES,0.017306,BR,0.017306,FR,0.012039,GB,0.011287,2025-07-07 20:00:00,0.317022,0.3601,0.141363,0.181514,0.339189,0.873275,normal,2025-08-07,20.1152,
2651,Dorothy,235540476,298528.0,1779.0,81.0,,0.847002,0.462944,0.537056,0.039825,0.319652,0.408199,0.160154,0.071823,0.000347,0.014398,0.025428,0.129026,0.190626,0.178865,0.229334,0.092293,0.067861,0.048177,0.023646,0.000185,0.000162,0.729781,0.065451,0.101449,0.103318,0.714756,0.055995,0.101779,0.007411,0.001153,0.003458,0.020916,0.011693,0.014328,Music,0.439097,Television & Film,0.37807,"Friends, Family & Relationships",0.373853,Camera & Photography,0.355495,"Clothes, Shoes, Handbags & Accessories",0.343835,US,0.526459,BR,0.085678,GB,0.036749,IN,0.034859,CA,0.026039,2025-11-05 19:00:00,0.2348,0.1715,0.0931,0.5006,0.1371,0.57,bad,2025-11-06,0.5959,
19587,FISHER,232925112,2430570.0,62184.0,511.0,,,0.677692,0.322308,0.021164,0.246254,0.528462,0.176532,0.02744,0.000148,0.009903,0.011261,0.149432,0.096822,0.356952,0.171509,0.138347,0.038185,0.02291,0.00453,0.000148,0.0,0.765067,0.037403,0.064606,0.132924,0.69793,0.107684,0.080589,0.014728,0.001667,0.000834,0.0,0.012505,0.015701,Music,0.383984,"Friends, Family & Relationships",0.350195,"Travel, Tourism & Aviation",0.329297,Camera & Photography,0.324414,Sports,0.317188,AU,0.236475,US,0.208302,GB,0.090964,BR,0.078825,IT,0.046606,2025-11-04 19:00:00,0.2143,0.3103,0.1866,0.2888,0.3479,0.868,normal,2025-11-05,2.5584,
19587,FISHER,232925112,2430570.0,62184.0,511.0,,,0.677692,0.322308,0.021164,0.246254,0.528462,0.176532,0.02744,0.000148,0.009903,0.011261,0.149432,0.096822,0.356952,0.171509,0.138347,0.038185,0.02291,0.00453,0.000148,0.0,0.765067,0.037403,0.064606,0.132924,0.69793,0.107684,0.080589,0.014728,0.001667,0.000834,0.0,0.012505,0.015701,Music,0.383984,"Friends, Family & Relationships",0.350195,"Travel, Tourism & Aviation",0.329297,Camera & Photography,0.324414,Sports,0.317188,AU,0.236475,US,0.208302,GB,0.090964,BR,0.078825,IT,0.046606,2025-11-04 19:00:00,0.2143,0.3103,0.1866,0.2888,0.3479,0.868,normal,2025-11-06,2.5584,
6440,Alejandro Sanz,7306022197,6394.0,27.0,2.0,,,0.607802,0.392198,0.053507,0.382996,0.423908,0.100905,0.038684,0.0,0.025325,0.028182,0.209207,0.173788,0.253251,0.170657,0.083683,0.017222,0.036336,0.002348,0.0,0.0,0.705175,0.0,0.28207,0.012755,0.262948,0.015936,0.007968,0.003984,0.001328,0.0,0.067729,0.009296,0.00664,"Clothes, Shoes, Handbags & Accessories",0.373913,Camera & Photography,0.326087,Music,0.273913,"Restaurants, Food & Grocery",0.234783,"Travel, Tourism & Aviation",0.221739,ID,0.306122,IN,0.137755,TR,0.109694,IQ,0.107143,IR,0.079082,2025-07-07 20:00:00,0.131211,0.133847,0.085784,0.649158,0.046644,0.103833,bad,2025-08-07,0.4223,
6440,Alejandro Sanz,779296900,431065.0,2507.0,39.0,,0.8961,0.417786,0.582214,0.019283,0.222213,0.493265,0.203732,0.061349,0.000158,0.007121,0.012161,0.078651,0.143561,0.202088,0.291177,0.096376,0.107357,0.033391,0.027957,0.000158,0.0,0.063913,0.000718,0.017953,0.917415,0.051165,0.9349,0.004992,0.000624,0.0,0.0,0.000416,0.000416,0.001872,"Friends, Family & Relationships",0.442945,"Travel, Tourism & Aviation",0.41596,Camera & Photography,0.297995,"Toys, Children & Baby",0.292598,"Restaurants, Food & Grocery",0.271396,MX,0.874002,US,0.056138,CO,0.011477,PE,0.005988,VE,0.00499,2025-11-04 19:00:00,0.3772,0.224,0.1191,0.2797,0.1235,0.7924,bad,2025-11-05,0.5816,
6440,Alejandro Sanz,779296900,431065.0,2507.0,39.0,,0.8961,0.417786,0.582214,0.019283,0.222213,0.493265,0.203732,0.061349,0.000158,0.007121,0.012161,0.078651,0.143561,0.202088,0.291177,0.096376,0.107357,0.033391,0.027957,0.000158,0.0,0.063913,0.000718,0.017953,0.917415,0.051165,0.9349,0.004992,0.000624,0.0,0.0,0.000416,0.000416,0.001872,"Friends, Family & Relationships",0.442945,"Travel, Tourism & Aviation",0.41596,Camera & Photography,0.297995,"Toys, Children & Baby",0.292598,"Restaurants, Food & Grocery",0.271396,MX,0.874002,US,0.056138,CO,0.011477,PE,0.005988,VE,0.00499,2025-11-04 19:00:00,0.3772,0.224,0.1191,0.2797,0.1235,0.7924,bad,2025-11-06,0.5816,
6440,Alejandro Sanz,214024124,7896323.0,72184.0,1654.0,,0.659036,0.228913,0.771087,0.026519,0.207138,0.412515,0.257256,0.095939,0.000633,0.006427,0.020092,0.048617,0.158521,0.088829,0.323686,0.063614,0.193642,0.021425,0.074514,0.0,0.000633,0.332466,0.020415,0.040829,0.60629,0.068347,0.831909,0.056386,0.001282,0.000427,0.0,0.001495,0.004912,0.005553,"Friends, Family & Relationships",0.472222,"Travel, Tourism & Aviation",0.316774,"Toys, Children & Baby",0.277244,"Restaurants, Food & Grocery",0.240919,Camera & Photography,0.232906,ES,0.229513,MX,0.114001,US,0.084971,AR,0.084064,CO,0.076504,2025-11-05 19:00:00,0.3966,0.2143,0.1151,0.274,0.1216,0.7889,bad,2025-11-06,0.9141,
15646,Los Fabulosos Cadillacs,18611248,1766830.0,168799.0,2517.0,,,0.18085,0.81915,0.08771,0.492894,0.358531,0.052089,0.008776,0.0,0.013148,0.074562,0.077277,0.415617,0.070569,0.287962,0.015965,0.036124,0.003891,0.004885,0.0,0.0,0.652943,0.128925,0.137243,0.080889,0.890742,0.042535,0.010703,0.005143,0.0,0.0,0.00278,0.004726,0.010008,Music,0.313196,"Friends, Family & Relationships",0.313196,"Toys, Children & Baby",0.306836,"Clothes, Shoes, Handbags & Accessories",0.303922,Beauty & Cosmetics,0.283519,US,0.675135,GB,0.065384,CA,0.033066,AU,0.019802,MX,0.013077,2025-11-05 19:00:00,0.2247,0.245,0.1512,0.3791,0.2462,0.7667,bad,2025-11-06,9.5538,
15646,Los Fabulosos Cadillacs,4875056085,825.0,36.0,10.0,,,0.603133,0.396867,0.036136,0.330275,0.504763,0.113854,0.014973,0.0,0.014929,0.021207,0.203035,0.12724,0.286638,0.218125,0.086588,0.027266,0.011943,0.00303,0.0,0.0,0.6621,0.33105,0.0,0.006849,0.967254,0.007557,0.0,0.0,0.0,0.0,0.002519,0.005038,0.007557,Music,0.561983,"Clothes, Shoes, Handbags & Accessories",0.392562,Art & Design,0.359504,Electronics & Computers,0.334711,Camera & Photography,0.297521,GB,0.613014,US,0.222603,CA,0.017123,NG,0.017123,FR,0.013699,2025-07-07 20:00:00,0.274319,0.225681,0.118677,0.381323,0.398833,0.840467,low,2025-08-07,4.3636,
